"","L_G+1","L_G+2","L_G+3","L_G-1","L_G-2","LN_G+1","LN_G+2","LN_G+3","LN_G-1","LN_G-2","LN_G-3"
"Dusp28",1.83187489482972,1.63627155211689,1.78131694160726,1.54939105768316,1.93486932257462,1.80314293058636,1.44920792249874,1.8421170595259,1.42212756403493,1.90123149924085,1.59979939655045
"E2f8",5.93335755758931,5.87343263469141,5.52270507713304,5.87012305325573,5.18176758931628,2.96572595668751,2.41345789754954,2.56287242651085,5.08400743564499,2.61915133771651,2.92744869539647
"Higd2a",4.53450615986177,4.42045635558753,4.18204660420222,4.45575017601881,4.35940548140371,4.81680923146103,4.89017870010765,4.98309673812188,3.97232464659541,4.89233509875245,4.81980127046191
"Tor2a",5.52792150652847,5.49443747258483,5.52396617427705,5.48781722672478,5.92874737907248,4.78749632382777,4.78419217021155,5.10900826848659,5.28323219889271,5.26128101237686,5.31340782211486
"Klf11",5.02692364900023,4.99054961387648,5.15381292347328,4.80192581715285,4.793793740155,3.00445835117622,3.15042349171574,2.44045032361552,3.02348450300676,2.79915958998098,3.1460295027829
"Trim28",6.94180359526719,6.80396016334097,6.81028926750167,6.971200181385,6.7787605931443,6.30230082753927,6.17159751482015,6.43478288346867,6.726847193287,6.35239756134434,6.53787950451727
"Lysmd4",3.37048175985914,3.54637647146328,3.64655277974537,3.29509787685563,3.73044707685587,3.84464921534726,4.25944247633253,3.71365237868646,3.45674576090451,3.42719081259402,3.80226382483624
"Rnpepl1",6.94246394316332,6.75633112768841,6.66753048984865,6.97231537987462,6.65724648652146,7.24330593578909,7.30701496271673,7.20790185709913,6.8333600944149,7.42256376508034,7.37663546055806
"Cog5",5.53406811673076,5.4936976289579,5.28604882943503,5.59402669291074,5.2295647779904,5.63384714016248,5.63085540896559,5.33343273918299,5.47722403330291,5.63878824073796,5.77977437659033
"Zfp458",0.0777000106312931,1.55916262641913,0.992821046800973,1.65687548434956,1.23394080380514,1.49397406641434,2.28369002257921,1.45633336522217,1.73246768464709,1.88537754804001,1.93882348526112
"Cntrob",4.76251874818452,4.50952125060375,4.57413577050699,4.87529900348306,4.17805620943098,3.50076323207698,3.08699811157411,3.8401007139274,4.06499413787451,3.45430993894222,3.05139262864482
