"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Rpl13",2343,9313,0.00388077748055885,0.00493997031668217,420,0.348076969480961,0,0
"Chmp1a",42,118,6.95657935055363e-05,6.25916994919464e-05,28,-0.150130546665084,0.5519,0.775618257956449
"Vps9d1",22,49,3.64392251695666e-05,2.59914684330964e-05,10,-0.472047110921138,0.2298,0.506485639229422
"Tcf25",83,257,0.000137475258594274,0.000136322599740934,79,-0.0120591574125054,0.9468,0.979011245639237
"Afg3l1",26,60,4.30645388367605e-05,3.18262878772609e-05,10,-0.424766492841172,0.2234,0.498714095744681
"Gas8",10,31,1.65632841679848e-05,1.64435820699181e-05,6,-0.00986630994921768,0.9853,0.992696337802682
"Cog2",11,31,1.82196125847833e-05,1.64435820699181e-05,4,-0.139882925115317,0.7796,0.899818844566712
"Ttc13",5,26,8.28164208399241e-06,1.37913914134797e-05,4,0.672305801000444,0.2579,0.537585341614907
"Fam89a",11,111,1.82196125847833e-05,5.88786325729326e-05,27,1.63946201986918,1e-04,0.00221762114537445
"2810004N23Rik",14,21,2.31885978351788e-05,1.11392007570413e-05,4,-0.99465370366581,0.123,0.367249110320285
"Ntpcr",3,31,4.96898525039545e-06,1.64435820699181e-05,4,1.54713873652689,0.0148,0.0988106100795756
"Coa6",8,56,1.32506273343879e-05,2.97045353521101e-05,6,1.107426340809,0.0095,0.0731238532110092
"Irf2bp2",10,30,1.65632841679848e-05,1.59131439386304e-05,4,-0.0544177770631952,0.9241,0.96753731281198
"Tomm20",97,386,0.000160663856429453,0.000204749118677045,134,0.347889082778012,0.0148,0.0988106100795756
"Rbm34",17,36,2.81575830855742e-05,1.90957727263565e-05,6,-0.536979084294032,0.2345,0.51213579175705
"Nrp1",10,24,1.65632841679848e-05,1.27305151509043e-05,7,-0.355176885898384,0.5905,0.798650456743686
"Itgb1",229,666,0.000379299207446853,0.000353271795437596,231,-0.102278319293198,0.4184,0.677242958199357
"Flnb",14,34,2.31885978351788e-05,1.80348964637812e-05,4,-0.345680418892075,0.4454,0.697183955223881
"Dnase1l3",39,83,6.45968082551408e-05,4.40263648968775e-05,29,-0.54285560970197,0.2661,0.546754040816327
"Pxk",10,37,1.65632841679848e-05,1.96262108576442e-05,5,0.231916174549673,0.6348,0.823144541709578
"Pdhb",19,51,3.14702399191712e-05,2.70523446956717e-05,8,-0.2109966841089,0.5725,0.789698411829135
"3830406C13Rik",42,162,6.95657935055363e-05,8.59309772686043e-05,41,0.300901351202776,0.1966,0.463118577445016
"Thoc7",40,154,6.62531366719393e-05,8.16874722183029e-05,34,0.298067210441229,0.1758,0.438324517087667
"Atxn7",17,73,2.81575830855742e-05,3.87219835840007e-05,16,0.446066530533501,0.2419,0.520832834544677
"Psmd6",59,134,9.77233765911105e-05,7.10787095925493e-05,33,-0.453818556011458,0.058,0.236032336297494
"Il3ra",22,54,3.64392251695666e-05,2.86436590895348e-05,9,-0.33682703877837,0.3742,0.644179897435897
"Ngly1",25,60,4.14082104199621e-05,3.18262878772609e-05,9,-0.369491990430784,0.2759,0.554443353293413
"Top2b",13,62,2.15322694183803e-05,3.28871641398362e-05,13,0.588746282292501,0.1439,0.40177071547421
"Rpl15",79,353,0.00013084994492708,0.000187244660344551,118,0.513711974101982,0.0023,0.0275671428571429
"Ube2e1",30,137,4.96898525039545e-05,7.26700239864123e-05,38,0.539380746339374,0.0598,0.239485441527446
"2700060E02Rik",231,863,0.00038261186428045,0.000457768107301269,256,0.258117760919961,0.0331,0.167126780341023
"Saysd1",15,30,2.48449262519772e-05,1.59131439386304e-05,4,-0.611736222226333,0.2015,0.470696519721578
"Ecd",12,32,1.98759410015818e-05,1.69740202012058e-05,4,-0.215928101116891,0.6659,0.840135488721805
"Dnajc9",16,39,2.65012546687757e-05,2.06870871202196e-05,8,-0.342661147258156,0.4706,0.717966434413814
"Mrps16",46,185,7.61911071727302e-05,9.8131054288221e-05,49,0.360902423153347,0.073,0.268015586307356
"Anxa7",100,243,0.000165632841679848,0.000128896465902906,82,-0.359310589734452,0.062,0.244790588235294
"Ppp3cb",9,74,1.49069557511863e-05,3.92524217152884e-05,8,1.33941782169745,7e-04,0.0109775700934579
"Chchd1",29,159,4.8033524087156e-05,8.43396628747413e-05,31,0.799447958088764,0.0016,0.0211957894736842
"Vdac2",120,550,0.000198759410015818,0.000291740972208225,171,0.551361214949028,0,0
"Comtd1",6,44,9.9379705007909e-06,2.3339277776658e-05,4,1.15394128302938,0.0131,0.0921025139664804
"Rps24",1529,5773,0.00253252614928488,0.00306221933192378,414,0.273901950726241,0,0
"Zmiz1",46,80,7.61911071727302e-05,4.24350505030145e-05,18,-0.829574935918465,0.0068,0.0591212435233161
"Anxa11",15,64,2.48449262519772e-05,3.39480404024116e-05,11,0.435330477854938,0.25,0.529894736842105
"Slmap",13,52,2.15322694183803e-05,2.75827828269594e-05,8,0.34315375732555,0.4145,0.673094516129032
"Dennd6a",9,37,1.49069557511863e-05,1.96262108576442e-05,6,0.374821053653083,0.4368,0.692155206039635
"Arf4",175,744,0.000289857472939734,0.000394645969678035,228,0.443897689513398,0.0011,0.0154675977653631
"Appl1",41,159,6.79094650887378e-05,8.43396628747413e-05,34,0.30851425280904,0.2548,0.534220408163265
"Arhgef3",23,28,3.80955535863651e-05,1.48522676760551e-05,5,-1.30231530285201,0.0117,0.0853465517241379
"Fam208a",11,47,1.82196125847833e-05,2.4930592170521e-05,5,0.432075897448263,0.3127,0.592602934537246
"Selk",295,915,0.000488616882955552,0.000485350890128228,260,-0.00965574760579972,0.9454,0.978643553362122
"Actr8",13,42,2.15322694183803e-05,2.22784015140826e-05,4,0.0469993672765884,0.9105,0.96224572147651
"Tkt",120,391,0.000198759410015818,0.000207401309333483,123,0.0611008763151874,0.7396,0.881188126773888
"Prkcd",202,487,0.000334578340193294,0.000258323369937101,168,-0.371897374308003,0.021,0.12525355450237
"Tmem110",3,61,4.96898525039545e-06,3.23567260085485e-05,6,2.48242010002086,0,0
