"","counts_bg","counts_fg","freq_bg","freq_fg","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"Atp6v1b2",18,44,8.61561436510102e-05,0.000129171657389793,42,0.583706878708968,0.18315,0.654139954980304
"Atp13a1",2,5,9.57290485011224e-06,1.46785974306583e-05,7,0.611488243712713,0.5339,0.879282
"Gmip",9,10,4.30780718255051e-05,2.93571948613166e-05,17,-0.5516787668305,0.440275,0.832459090909091
"Ndufa13",74,61,0.000354197479454153,0.000179078888654031,69,-0.983560536721462,0.00155,0.0733984615384615
"Gatad2a",1,11,4.78645242505612e-06,3.22929143474483e-05,12,2.72881892070892,0.00945,0.208314642857143
"Mau2",3,6,1.43593572751684e-05,1.761431691679e-05,9,0.292912409367388,0.78215,0.952957731958763
"Sugp1",6,6,2.87187145503367e-05,1.761431691679e-05,12,-0.702090151342577,0.424225,0.82352975440806
"Rfxank",4,6,1.91458097002245e-05,1.761431691679e-05,10,-0.119628534132177,0.8943,0.965756810631229
"Nr2c2ap",5,10,2.39322621252806e-05,2.93571948613166e-05,13,0.29364759864402,0.715325,0.932615763859501
"Borcs8",8,22,3.8291619400449e-05,6.45858286948966e-05,26,0.752658266760875,0.16215,0.639004600638978
"Tmem161a",3,7,1.43593572751684e-05,2.05500364029216e-05,9,0.514140899621212,0.628075,0.902994957983193
"Ddx49",11,9,5.26509766756173e-05,2.64214753751849e-05,16,-0.992036771307624,0.18775,0.654139954980304
"Cope",40,45,0.000191458097002245,0.000132107376875925,52,-0.534979330328222,0.1321,0.591759490909091
"Upf1",4,4,1.91458097002245e-05,1.17428779445266e-05,7,-0.70052465506323,0.645025,0.909268124570643
"2810428I15Rik",19,37,9.09425960760663e-05,0.000108621620986871,38,0.256025269528394,0.570225,0.879282
"Uba52",5,7,2.39322621252806e-05,2.05500364029216e-05,11,-0.218828128947216,0.825,0.956527627118644
"Kxd1",28,29,0.000134020667901571,8.51358650978182e-05,38,-0.653999059749033,0.1829,0.654139954980304
"Fkbp8",34,33,0.000162739382451908,9.68787430423448e-05,45,-0.747709195402409,0.0613,0.47347904642409
"Isyna1",8,8,3.8291619400449e-05,2.34857558890533e-05,14,-0.702875578042411,0.419525,0.821959229789943
"Lsm4",31,36,0.00014838002517674,0.00010568590150074,45,-0.489121493531908,0.21555,0.678256488549618
"Jund",44,81,0.000210603906702469,0.000237793278376665,62,0.175097445606326,0.61645,0.896919451666273
"Ifi30",236,409,0.00112960277231324,0.00120070926982785,91,0.0880637734027515,0.651175,0.911201249148308
"Pik3r2",3,3,1.43593572751684e-05,8.80715845839498e-06,6,-0.698966260342159,0.5505,0.879282
